user_id,item_id,rating,timestamp,gender,gender_binary,age,occupation
132,212,4,879218960,M,1,43,technician
162,76,3,881357030,M,0,53,retired
858,314,3,878511566,F,1,28,student
863,221,3,879443062,M,1,17,scientist
435,46,5,880291677,M,1,46,administrator
296,51,3,878510103,M,1,30,technician
470,25,4,878227924,F,1,32,artist
43,159,4,888204701,M,1,22,educator
727,485,2,878366662,F,1,33,writer
402,581,3,879178633,M,1,27,lawyer
246,3,4,879087759,M,1,25,student
281,544,3,883365951,M,1,42,educator
622,328,4,889817813,M,1,24,student
178,604,1,878871464,M,0,24,educator
80,948,4,873875556,M,1,27,educator
475,762,3,878766204,M,0,32,student
475,745,4,877569385,M,1,49,other
435,129,2,890492797,M,0,28,librarian
38,1160,3,878963898,M,1,45,lawyer
188,866,3,885446628,F,0,24,librarian
166,721,5,878830209,M,0,20,educator
684,951,4,880026840,F,0,43,student
934,347,4,879533548,M,1,21,librarian
785,721,2,884624470,M,0,26,scientist
537,553,4,878938999,M,1,18,administrator
12,463,2,874797953,M,1,23,educator
251,167,3,885953887,M,1,44,educator
304,380,3,890926655,M,0,27,librarian
27,405,1,874846469,M,1,32,administrator
432,790,3,885760984,M,0,43,artist
886,257,4,878820423,M,1,45,educator
626,854,3,877170503,M,1,25,educator
649,1600,2,890364785,F,1,24,student
326,184,3,890333846,M,1,45,artist
281,263,4,879171823,M,1,17,educator
251,20,4,880013210,M,1,34,programmer
423,663,3,887346258,M,1,24,other
72,393,4,890932038,F,1,36,other
451,716,3,889786502,F,0,24,engineer
34,663,4,879711038,M,1,40,educator
5,1089,5,878799464,M,1,27,healthcare
354,175,5,886852479,M,1,25,artist
270,466,3,884461930,M,1,26,technician
251,526,4,879056978,F,1,26,administrator
263,82,3,889729967,M,1,29,technician
890,548,3,877862071,M,1,24,programmer
176,756,3,891878397,M,0,46,marketing
103,917,3,878832126,F,0,24,engineer
280,554,3,890792038,M,1,23,artist
465,921,3,884953550,F,1,40,scientist
97,388,5,888055871,F,0,27,engineer
930,64,4,880216583,M,1,23,student
794,189,2,880076967,M,1,22,programmer
101,312,1,885165778,M,1,27,artist
43,23,3,878980973,M,1,36,executive
239,238,3,879350511,M,1,30,educator
145,475,5,879014909,M,1,42,executive
406,248,4,885411260,M,1,25,educator
239,712,2,878037357,M,0,40,engineer
420,166,3,878484979,M,1,23,librarian
901,155,5,884109562,M,1,19,artist
435,873,4,875474106,M,0,21,programmer
619,149,3,891868719,M,1,27,educator
435,666,2,891346816,M,1,33,marketing
153,21,4,879385831,M,1,46,librarian
564,289,5,874734428,M,1,31,artist
254,7,1,888482700,M,1,25,entertainment
499,177,1,874596897,M,1,22,student
585,139,4,879824582,M,1,39,other
622,54,3,887899458,M,0,41,educator
43,11,3,877268947,M,0,36,student
208,381,1,892290355,F,0,25,student
191,904,3,881795850,F,0,22,writer
451,476,2,880172545,M,1,18,educator
677,652,5,879121190,M,1,44,other
547,176,4,883426447,M,1,40,educator
332,29,3,888438774,M,1,26,librarian
145,336,4,881867458,M,1,33,administrator
385,288,2,880300459,M,1,48,educator
789,235,5,876382335,M,0,48,programmer
495,792,3,891024967,M,1,23,writer
273,320,3,891047781,F,1,17,writer
246,1177,5,878135391,M,1,37,artist
216,1161,4,891943016,F,0,18,librarian
748,277,2,891605457,F,1,49,administrator
863,748,2,881015983,M,1,19,other
838,618,4,878065643,M,1,24,technician
337,1183,3,891152466,M,1,42,programmer
659,794,2,884479365,M,1,28,writer
510,132,3,879190656,M,1,47,entertainment
160,1448,4,883997845,F,0,52,engineer
537,316,3,891227909,F,1,20,administrator
280,142,3,876578044,M,1,18,educator
876,320,3,880836314,F,1,21,engineer
15,670,5,879557218,M,1,26,student
378,417,4,890800399,F,1,30,programmer
312,748,2,889782557,M,0,22,other
880,319,3,890424132,F,0,17,student
772,949,3,890019222,F,0,25,engineer
930,113,3,879191326,M,1,21,artist
537,1086,3,879742601,F,1,23,engineer
43,176,5,882681597,M,1,27,student
392,955,2,878416093,M,1,26,administrator
409,172,4,877300974,F,0,37,other
772,724,3,888304314,M,1,23,administrator
699,1264,4,879461370,M,0,21,educator
1,681,3,891530412,M,1,18,other
127,249,3,875216796,M,1,25,marketing
666,931,5,890880358,M,0,47,student
756,213,4,879367138,M,1,43,student
274,20,5,889431287,F,1,25,none
706,483,4,886295584,M,0,32,programmer
340,26,1,883875249,M,1,29,other
409,917,3,886965666,M,1,24,administrator
916,1044,3,878438059,M,1,29,technician
772,945,1,888342548,M,1,56,educator
132,22,2,890609814,F,1,40,educator
551,85,4,891558871,M,1,36,programmer
863,357,3,878852539,F,1,26,administrator
868,140,4,880594235,F,1,24,writer
764,7,3,882681783,M,1,26,lawyer
480,134,5,888325184,M,1,35,salesman
692,1074,2,891926958,M,1,26,librarian
922,294,4,878997050,M,1,22,librarian
659,707,3,891311854,F,1,39,educator
319,1062,2,891563950,M,1,20,administrator
254,471,2,879489255,F,1,44,educator
49,284,3,891685070,F,1,21,engineer
622,8,4,878921110,M,1,30,student
487,233,2,878206926,M,0,28,technician
